Defl_nm_Ex	Defl_pN_Ex	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
5.379143e-001	5.373763e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
5.080301e-001	5.075221e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
3.586095e-001	3.582509e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
3.586095e-001	3.582509e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
3.586095e-001	3.582509e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
3.586095e-001	3.582509e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
3.586095e-001	3.582509e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
3.586095e-001	3.582509e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
3.586095e-001	3.582509e+002	
4.781460e-001	4.776679e+002	
5.379143e-001	5.373763e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
3.884936e-001	3.881051e+002	
3.884936e-001	3.881051e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
5.379143e-001	5.373763e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.677984e-001	5.672306e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
5.379143e-001	5.373763e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
5.379143e-001	5.373763e+002	
5.379143e-001	5.373763e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
3.586095e-001	3.582509e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
3.586095e-001	3.582509e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
5.379143e-001	5.373763e+002	
4.482619e-001	4.478136e+002	
5.379143e-001	5.373763e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
3.586095e-001	3.582509e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
3.586095e-001	3.582509e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.379143e-001	5.373763e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
5.379143e-001	5.373763e+002	
5.677984e-001	5.672306e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
5.379143e-001	5.373763e+002	
5.080301e-001	5.075221e+002	
3.884936e-001	3.881051e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
3.884936e-001	3.881051e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
3.586095e-001	3.582509e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
5.379143e-001	5.373763e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
5.379143e-001	5.373763e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.379143e-001	5.373763e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
3.884936e-001	3.881051e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
5.080301e-001	5.075221e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
3.586095e-001	3.582509e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
5.080301e-001	5.075221e+002	
5.080301e-001	5.075221e+002	
3.884936e-001	3.881051e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.183778e-001	4.179594e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
4.482619e-001	4.478136e+002	
4.183778e-001	4.179594e+002	
4.781460e-001	4.776679e+002	
4.482619e-001	4.478136e+002	
